max_camber,camber_pos,thickness,reynolds,aoa,cl,cd
0.015,0.244,0.07,4392632,-2.1,-0.0631,0.00541
0.082,0.652,0.143,2284574,10.4,1.6014,0.02982
0.017,0.548,0.111,4498820,11.9,1.4312,0.01319
0.02,0.549,0.171,2109462,7.3,0.9821,0.00963
0.047,0.755,0.084,4729698,10.3,1.6905,0.01672
0.049,0.583,0.19,3836537,-2.5,0.2909,0.00549
0.019,0.562,0.092,3155147,4.3,0.7311,0.00723
0.088,0.326,0.065,2762833,4.2,1.3707,0.0083
0.099,0.737,0.085,3552662,0.6,1.5281,0.00597
0.098,0.779,0.158,3169286,-4.1,0.5159,0.02188
0.004,0.216,0.095,4330926,10.3,1.1765,0.01088
0.095,0.776,0.073,1353102,-1.4,0.7153,0.04387
0.064,0.694,0.107,2429850,1.2,1.1048,0.00439
0.018,0.183,0.082,2744566,4.6,0.7332,0.00633
0.009,0.422,0.088,2104077,0.4,0.1471,0.00423
0.014,0.11,0.124,1271964,6.5,0.8945,0.00981
0.001,0.134,0.192,2673228,1.4,0.1396,0.00643
0.015,0.614,0.167,3680836,-1.7,0.0222,0.00568
0.081,0.531,0.08,735249,3.7,1.4004,0.00736
0.04,0.354,0.115,4430676,1.2,0.5757,0.00589
0.075,0.388,0.191,3637578,11.0,1.716,0.01763
0.062,0.462,0.178,824611,8.9,1.3931,0.01606
0.036,0.73,0.083,1821581,-3.9,0.1774,0.00642
0.044,0.233,0.145,3286197,10.8,1.5344,0.01119
0.01,0.268,0.06,3595174,8.2,0.9787,0.01086
0.005,0.381,0.08,4199138,-2.5,-0.1979,0.00528
0.08,0.694,0.098,1926704,6.0,1.4183,0.02087
0.061,0.751,0.182,151090,5.8,1.0783,0.02211
0.095,0.681,0.063,566022,3.8,1.5229,0.01471
0.099,0.661,0.179,3290786,-0.7,1.0887,0.00701
0.029,0.292,0.069,4041299,6.3,0.9813,0.00816
0.083,0.59,0.186,1742421,3.4,1.0801,0.01075
0.069,0.627,0.11,3352546,5.4,1.2764,0.01202
0.027,0.396,0.129,3502852,-4.2,-0.1274,0.00625
0.033,0.597,0.108,4377431,7.8,1.2057,0.01031
0.016,0.715,0.185,4990790,-0.6,0.1145,0.00578
0.064,0.533,0.072,4337316,10.6,1.6858,0.01835
0.093,0.422,0.106,2422961,-2.2,0.8057,0.00682
0.028,0.326,0.098,3059967,8.5,1.1965,0.01091
0.092,0.42,0.161,665404,3.9,1.1807,0.01325
0.084,0.126,0.188,1167429,-4.2,0.3583,0.03166
0.029,0.434,0.108,2817391,6.2,1.0057,0.0089
0.027,0.268,0.094,3066136,-4.0,-0.1347,0.00634
0.026,0.384,0.151,4987121,9.6,1.2836,0.01082
0.039,0.626,0.184,2140059,2.5,0.5912,0.00743
0.007,0.177,0.077,1428918,2.1,0.3087,0.00534
0.048,0.484,0.103,4198583,8.6,1.3674,0.01192
0.021,0.588,0.148,4242865,-3.7,-0.0948,0.00547
0.041,0.237,0.108,4286483,9.1,1.3731,0.01087
0.016,0.737,0.136,3177882,1.3,0.3748,0.0056
0.072,0.592,0.15,1870136,-4.2,0.4931,0.00636
0.003,0.701,0.122,1282420,-3.7,-0.3243,0.00651
0.015,0.294,0.064,458496,0.6,0.2914,0.00504
0.039,0.579,0.175,607755,7.3,1.0567,0.0132
0.093,0.363,0.142,3207971,9.9,1.8652,0.01365
0.063,0.193,0.075,2398405,2.8,0.9176,0.00893
0.034,0.638,0.193,2856679,7.6,0.9173,0.0109
0.059,0.287,0.147,100688,9.9,1.0991,0.06517
0.05,0.345,0.169,4722726,2.1,0.6999,0.00671
0.038,0.582,0.056,3644815,7.3,1.2356,0.01311
0.013,0.602,0.192,753317,-2.3,-0.0423,0.00788
0.044,0.232,0.112,3252809,11.0,1.5198,0.01423
0.04,0.212,0.128,778351,-1.2,0.2849,0.00889
0.02,0.157,0.082,2656366,8.4,1.1021,0.01047
0.086,0.492,0.181,2704666,-1.6,0.6786,0.00721
0.059,0.295,0.171,2692375,-1.1,0.4385,0.00797
0.067,0.44,0.117,3405035,-3.4,0.4196,0.00599
0.027,0.401,0.067,659597,-2.0,0.1081,0.00702
0.052,0.491,0.078,3178179,4.4,1.0644,0.00867
0.005,0.283,0.164,2031337,3.9,0.4189,0.00647
0.063,0.78,0.146,3647813,8.4,1.4955,0.01902
0.013,0.179,0.2,3421805,-3.8,-0.2386,0.00675
0.053,0.644,0.121,4876574,1.5,0.85,0.00556
0.072,0.768,0.08,1443016,5.1,1.3781,0.0214
0.071,0.749,0.181,3909167,7.8,1.3487,0.0192
0.01,0.486,0.174,3785844,3.2,0.4229,0.00626
0.025,0.264,0.161,4381968,-1.8,0.0746,0.00658
0.024,0.686,0.161,3520932,6.0,0.8258,0.00827
0.086,0.396,0.138,4287850,-2.8,0.6252,0.00674
0.014,0.679,0.077,1051215,7.0,0.9276,0.01246
0.019,0.6,0.189,3252036,10.5,1.2198,0.01288
0.091,0.219,0.195,4441055,-0.9,0.5881,0.00998
0.074,0.781,0.056,1768910,-4.9,0.434,0.01663
0.033,0.7,0.135,2804321,-1.2,0.4071,0.00436
0.038,0.617,0.109,4191562,8.9,1.3294,0.01185
0.038,0.672,0.152,1149922,-1.5,0.4015,0.00607
0.044,0.349,0.059,4406081,-0.5,0.4307,0.00556
0.081,0.661,0.143,3758704,3.6,1.2133,0.01093
0.065,0.151,0.186,1872684,-1.5,0.3552,0.01081
0.088,0.721,0.121,3875113,0.5,1.3343,0.00516
0.053,0.516,0.144,1433546,5.2,1.1053,0.00794
0.077,0.375,0.085,3795876,4.8,1.3578,0.00646
0.076,0.17,0.109,3341676,8.4,1.5747,0.01101
0.025,0.411,0.106,1398777,10.4,1.2887,0.01564
0.03,0.701,0.198,3754443,0.3,0.2786,0.00653
0.035,0.205,0.076,2981496,0.1,0.3628,0.00708
0.002,0.249,0.166,2114363,9.6,1.0091,0.01127
0.073,0.75,0.061,479603,0.6,0.7023,0.03487
0.096,0.599,0.159,2803202,1.7,1.2563,0.00722
